CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/vaex_test.py
MEM 287.957031 1626410813.4342
MEM 287.957031 1626410813.5478
MEM 287.957031 1626410813.6614
MEM 288.000000 1626410813.7750
MEM 288.000000 1626410813.8880
MEM 288.000000 1626410814.0008
MEM 288.050781 1626410814.1144
MEM 288.050781 1626410814.2271
MEM 288.050781 1626410814.3385
MEM 288.050781 1626410814.4483
MEM 288.140625 1626410814.5621
MEM 288.140625 1626410814.6757
MEM 288.140625 1626410814.7903
MEM 288.140625 1626410814.9038
MEM 288.140625 1626410815.0169
MEM 288.140625 1626410815.1305
MEM 288.140625 1626410815.2441
MEM 288.140625 1626410815.3570
MEM 288.140625 1626410815.4696
MEM 288.140625 1626410815.5832
MEM 288.140625 1626410815.6963
MEM 288.140625 1626410815.8102
MEM 288.140625 1626410815.9222
MEM 288.140625 1626410816.0357
MEM 288.140625 1626410816.1493
MEM 288.140625 1626410816.2630
MEM 288.140625 1626410816.3755
MEM 288.140625 1626410816.4893
MEM 288.140625 1626410816.6013
MEM 288.140625 1626410816.7151
MEM 288.140625 1626410816.8312
MEM 288.140625 1626410816.9462
MEM 288.140625 1626410817.0600
MEM 288.140625 1626410817.1711
MEM 288.140625 1626410817.2846
MEM 288.140625 1626410817.3981
MEM 288.140625 1626410817.5081
MEM 288.140625 1626410817.6208
MEM 288.144531 1626410817.7348
MEM 288.148438 1626410817.8485
MEM 288.148438 1626410817.9622
MEM 288.148438 1626410818.0759
MEM 288.183594 1626410818.1895
MEM 288.183594 1626410818.3027
MEM 288.183594 1626410818.4148
MEM 288.218750 1626410818.5284
MEM 288.261719 1626410818.6407
MEM 288.261719 1626410818.7539
MEM 288.281250 1626410818.8675
MEM 288.320312 1626410818.9812
MEM 288.320312 1626410819.0951
MEM 288.320312 1626410819.2103
MEM 288.320312 1626410819.3216
MEM 288.320312 1626410819.4361
MEM 288.320312 1626410819.5504
MEM 288.320312 1626410819.6641
MEM 288.320312 1626410819.7781
MEM 288.320312 1626410819.8926
MEM 288.320312 1626410820.0032
MEM 288.320312 1626410820.1158
MEM 288.320312 1626410820.2306
MEM 288.320312 1626410820.3457
MEM 288.320312 1626410820.4607
MEM 288.320312 1626410820.5758
MEM 288.320312 1626410820.6900
MEM 288.320312 1626410820.8032
MEM 288.320312 1626410820.9169
MEM 288.320312 1626410821.0299
MEM 288.320312 1626410821.1432
MEM 288.320312 1626410821.2562
MEM 288.320312 1626410821.3687
MEM 288.320312 1626410821.4829
MEM 288.320312 1626410821.5981
MEM 288.320312 1626410821.7128
MEM 288.320312 1626410821.8264
MEM 288.320312 1626410821.9399
MEM 288.320312 1626410822.0542
MEM 288.320312 1626410822.1697
MEM 288.320312 1626410822.2806
MEM 288.320312 1626410822.3954
MEM 288.332031 1626410822.5097
MEM 288.335938 1626410822.6229
MEM 288.367188 1626410822.7375
MEM 288.367188 1626410822.8510
MEM 288.367188 1626410822.9652
MEM 288.367188 1626410823.0787
MEM 288.402344 1626410823.1916
MEM 288.406250 1626410823.3036
MEM 288.449219 1626410823.4172
MEM 288.449219 1626410823.5308
MEM 288.453125 1626410823.6436
MEM 288.519531 1626410823.7577
MEM 288.519531 1626410823.8700
MEM 288.519531 1626410823.9828
MEM 288.519531 1626410824.0963
MEM 288.519531 1626410824.2106
MEM 288.519531 1626410824.3242
MEM 288.519531 1626410824.4357
MEM 288.519531 1626410824.5480
MEM 288.519531 1626410824.6611
MEM 288.519531 1626410824.7735
MEM 288.519531 1626410824.8877
MEM 288.519531 1626410825.0010
MEM 288.519531 1626410825.1137
MEM 288.519531 1626410825.2287
MEM 288.519531 1626410825.3426
MEM 288.519531 1626410825.4552
MEM 288.519531 1626410825.5673
MEM 288.519531 1626410825.6809
MEM 288.519531 1626410825.7921
MEM 288.519531 1626410825.9076
MEM 288.519531 1626410826.0228
MEM 288.519531 1626410826.1361
MEM 288.519531 1626410826.2482
MEM 288.519531 1626410826.3628
MEM 288.519531 1626410826.4778
MEM 288.519531 1626410826.5928
MEM 288.519531 1626410826.7061
MEM 288.519531 1626410826.8208
MEM 288.519531 1626410826.9356
MEM 288.519531 1626410827.0501
MEM 288.519531 1626410827.1638
MEM 288.519531 1626410827.2778
MEM 288.519531 1626410827.3928
MEM 288.519531 1626410827.5063
MEM 288.519531 1626410827.6193
MEM 288.613281 1626410827.7337
MEM 288.613281 1626410827.8475
MEM 288.656250 1626410827.9635
MEM 288.660156 1626410828.0769
MEM 288.699219 1626410828.1905
MEM 288.707031 1626410828.3029
MEM 288.722656 1626410828.4167
MEM 288.722656 1626410828.5299
MEM 288.722656 1626410828.6426
MEM 288.722656 1626410828.7550
MEM 288.722656 1626410828.8682
MEM 288.750000 1626410828.9818
MEM 288.750000 1626410829.0953
MEM 288.750000 1626410829.2086
MEM 288.750000 1626410829.3223
MEM 288.750000 1626410829.4357
MEM 288.750000 1626410829.5477
MEM 288.750000 1626410829.6615
MEM 288.750000 1626410829.7773
MEM 288.750000 1626410829.8910
MEM 288.750000 1626410830.0045
MEM 288.750000 1626410830.1174
MEM 288.750000 1626410830.2286
MEM 288.750000 1626410830.3417
MEM 288.750000 1626410830.4548
