CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/pandas_test.py
MEM 259.554688 1626411382.0118
MEM 259.554688 1626411382.1278
MEM 259.539062 1626411382.2436
MEM 259.554688 1626411382.3596
MEM 259.539062 1626411382.4757
MEM 259.554688 1626411382.5921
MEM 260.300781 1626411382.7073
MEM 259.550781 1626411382.8236
MEM 259.574219 1626411382.9379
MEM 259.570312 1626411383.0570
MEM 261.093750 1626411383.1734
MEM 259.605469 1626411383.2897
MEM 260.355469 1626411383.4089
MEM 259.601562 1626411383.5279
MEM 259.617188 1626411383.6441
MEM 259.617188 1626411383.7600
MEM 259.855469 1626411383.8725
MEM 259.617188 1626411383.9890
MEM 259.679688 1626411384.1051
MEM 259.695312 1626411384.2199
MEM 259.695312 1626411384.3337
MEM 259.679688 1626411384.4487
MEM 259.679688 1626411384.5634
MEM 261.191406 1626411384.6781
MEM 259.695312 1626411384.7924
MEM 259.695312 1626411384.9069
MEM 259.679688 1626411385.0205
MEM 260.015625 1626411385.1314
MEM 260.015625 1626411385.2457
MEM 260.000000 1626411385.3601
MEM 260.015625 1626411385.4740
MEM 260.015625 1626411385.5876
MEM 260.015625 1626411385.7019
MEM 260.015625 1626411385.8164
MEM 260.015625 1626411385.9314
MEM 260.015625 1626411386.0448
MEM 260.015625 1626411386.1568
MEM 260.449219 1626411386.2713
MEM 260.464844 1626411386.3843
MEM 260.449219 1626411386.4957
MEM 260.464844 1626411386.6108
MEM 260.449219 1626411386.7260
MEM 260.464844 1626411386.8401
MEM 260.449219 1626411386.9533
MEM 260.449219 1626411387.0669
MEM 260.449219 1626411387.1804
MEM 260.464844 1626411387.2933
MEM 260.464844 1626411387.4062
MEM 260.464844 1626411387.5200
MEM 260.449219 1626411387.6342
MEM 260.464844 1626411387.7502
MEM 260.464844 1626411387.8636
MEM 260.464844 1626411387.9781
MEM 260.464844 1626411388.0929
MEM 260.464844 1626411388.2067
MEM 260.449219 1626411388.3239
MEM 260.449219 1626411388.4414
MEM 260.464844 1626411388.5589
MEM 260.464844 1626411388.6761
MEM 260.449219 1626411388.7934
MEM 260.449219 1626411388.9111
MEM 261.457031 1626411389.0248
MEM 260.449219 1626411389.1400
MEM 260.464844 1626411389.2538
MEM 260.464844 1626411389.3686
MEM 260.464844 1626411389.4834
MEM 260.464844 1626411389.5984
MEM 260.464844 1626411389.7126
MEM 260.449219 1626411389.8261
MEM 260.464844 1626411389.9399
MEM 260.464844 1626411390.0547
MEM 260.449219 1626411390.1699
MEM 260.449219 1626411390.2850
MEM 260.449219 1626411390.3999
MEM 260.464844 1626411390.5141
MEM 260.464844 1626411390.6252
MEM 261.960938 1626411390.7402
MEM 260.464844 1626411390.8560
MEM 260.464844 1626411390.9716
MEM 260.464844 1626411391.0874
MEM 260.464844 1626411391.2016
MEM 261.960938 1626411391.3161
MEM 260.464844 1626411391.4299
MEM 260.449219 1626411391.5453
MEM 260.464844 1626411391.6609
MEM 261.457031 1626411391.7760
MEM 260.449219 1626411391.8917
MEM 260.449219 1626411392.0057
MEM 260.464844 1626411392.1198
MEM 261.457031 1626411392.2350
MEM 260.464844 1626411392.3462
MEM 260.464844 1626411392.4610
MEM 260.449219 1626411392.5759
MEM 260.464844 1626411392.6903
MEM 260.464844 1626411392.8045
MEM 260.464844 1626411392.9201
MEM 260.464844 1626411393.0357
MEM 260.464844 1626411393.1494
MEM 260.464844 1626411393.2637
MEM 260.449219 1626411393.3784
MEM 260.464844 1626411393.4936
MEM 260.449219 1626411393.6095
MEM 260.464844 1626411393.7250
MEM 260.464844 1626411393.8406
MEM 260.464844 1626411393.9552
MEM 260.464844 1626411394.0703
MEM 260.464844 1626411394.1846
MEM 260.960938 1626411394.2974
MEM 260.464844 1626411394.4122
MEM 260.523438 1626411394.5269
MEM 260.507812 1626411394.6391
MEM 260.523438 1626411394.7523
MEM 260.523438 1626411394.8650
MEM 260.523438 1626411394.9811
MEM 260.523438 1626411395.0970
MEM 260.523438 1626411395.2118
MEM 260.523438 1626411395.3275
MEM 260.523438 1626411395.4440
MEM 260.566406 1626411395.5596
MEM 260.582031 1626411395.6752
MEM 260.582031 1626411395.7906
MEM 260.582031 1626411395.9053
MEM 260.589844 1626411396.0202
MEM 260.582031 1626411396.1357
MEM 260.605469 1626411396.2511
MEM 260.613281 1626411396.3671
MEM 260.625000 1626411396.4826
MEM 260.628906 1626411396.5972
MEM 260.628906 1626411396.7128
MEM 261.367188 1626411396.8246
MEM 260.613281 1626411396.9404
MEM 260.613281 1626411397.0562
MEM 260.628906 1626411397.1702
MEM 260.628906 1626411397.2857
MEM 262.125000 1626411397.3990
MEM 260.628906 1626411397.5139
MEM 260.628906 1626411397.6303
MEM 260.867188 1626411397.7464
MEM 260.628906 1626411397.8625
MEM 260.628906 1626411397.9779
MEM 260.613281 1626411398.0925
MEM 260.628906 1626411398.2077
MEM 260.867188 1626411398.3193
MEM 260.613281 1626411398.4350
MEM 260.628906 1626411398.5500
MEM 260.613281 1626411398.6655
MEM 260.628906 1626411398.7809
MEM 260.613281 1626411398.8936
MEM 260.628906 1626411399.0086
MEM 260.628906 1626411399.1233
MEM 260.628906 1626411399.2374
MEM 262.125000 1626411399.3529
MEM 261.621094 1626411399.4688
MEM 260.613281 1626411399.5840
MEM 260.628906 1626411399.6983
MEM 260.628906 1626411399.8134
MEM 262.125000 1626411399.9275
MEM 260.613281 1626411400.0422
MEM 260.628906 1626411400.1570
MEM 262.125000 1626411400.2699
MEM 260.613281 1626411400.3846
MEM 260.628906 1626411400.4982
MEM 260.628906 1626411400.6133
MEM 262.125000 1626411400.7284
MEM 260.628906 1626411400.8444
MEM 260.628906 1626411400.9578
MEM 261.125000 1626411401.0718
MEM 260.628906 1626411401.1841
MEM 260.628906 1626411401.2978
MEM 260.613281 1626411401.4117
MEM 260.628906 1626411401.5264
MEM 260.628906 1626411401.6421
MEM 260.628906 1626411401.7578
MEM 260.628906 1626411401.8724
MEM 262.125000 1626411401.9874
MEM 260.613281 1626411402.1005
MEM 260.628906 1626411402.2140
MEM 261.367188 1626411402.3283
MEM 260.628906 1626411402.4433
MEM 260.628906 1626411402.5580
MEM 260.628906 1626411402.6726
MEM 260.628906 1626411402.7867
MEM 262.125000 1626411402.9004
MEM 260.621094 1626411403.0136
MEM 260.621094 1626411403.1296
MEM 260.636719 1626411403.2438
MEM 260.636719 1626411403.3579
MEM 262.132812 1626411403.4695
MEM 261.628906 1626411403.5842
MEM 260.636719 1626411403.6969
MEM 260.636719 1626411403.8114
MEM 260.636719 1626411403.9264
MEM 260.636719 1626411404.0412
MEM 262.132812 1626411404.1568
MEM 260.621094 1626411404.2712
MEM 260.621094 1626411404.3862
MEM 260.644531 1626411404.5066
MEM 262.140625 1626411404.6178
MEM 260.628906 1626411404.7321
MEM 260.644531 1626411404.8466
MEM 260.644531 1626411404.9620
MEM 260.882812 1626411405.0754
MEM 260.644531 1626411405.1894
MEM 260.644531 1626411405.3036
MEM 260.644531 1626411405.4186
MEM 260.628906 1626411405.5335
MEM 260.644531 1626411405.6474
MEM 260.644531 1626411405.7615
MEM 260.644531 1626411405.8753
MEM 260.636719 1626411405.9894
MEM 260.664062 1626411406.1010
MEM 260.671875 1626411406.2156
MEM 260.683594 1626411406.3302
MEM 259.281250 1626411406.4451
MEM 259.281250 1626411406.5603
MEM 259.265625 1626411406.6748
MEM 259.281250 1626411406.7881
MEM 259.707031 1626411406.9025
MEM 259.265625 1626411407.0170
MEM 259.281250 1626411407.1314
MEM 260.777344 1626411407.2457
MEM 259.281250 1626411407.3592
MEM 259.281250 1626411407.4737
MEM 259.281250 1626411407.5848
MEM 259.281250 1626411407.6995
MEM 260.777344 1626411407.8137
MEM 259.281250 1626411407.9273
MEM 260.777344 1626411408.0392
MEM 259.265625 1626411408.1539
MEM 259.281250 1626411408.2677
MEM 259.265625 1626411408.3786
MEM 259.281250 1626411408.4934
MEM 259.281250 1626411408.6074
MEM 259.281250 1626411408.7220
MEM 259.281250 1626411408.8356
MEM 259.281250 1626411408.9498
MEM 259.281250 1626411409.0624
MEM 259.265625 1626411409.1771
MEM 259.281250 1626411409.2880
MEM 259.281250 1626411409.4018
MEM 260.777344 1626411409.5163
MEM 259.281250 1626411409.6312
MEM 259.265625 1626411409.7459
MEM 259.281250 1626411409.8592
MEM 260.777344 1626411409.9732
MEM 259.265625 1626411410.0874
MEM 260.777344 1626411410.2024
MEM 259.281250 1626411410.3164
MEM 260.777344 1626411410.4309
MEM 259.265625 1626411410.5453
MEM 259.281250 1626411410.6595
MEM 260.777344 1626411410.7739
MEM 259.281250 1626411410.8878
MEM 260.777344 1626411411.0020
MEM 259.281250 1626411411.1178
MEM 259.281250 1626411411.2314
MEM 259.265625 1626411411.3449
MEM 259.281250 1626411411.4595
MEM 259.281250 1626411411.5725
MEM 259.265625 1626411411.6875
MEM 259.265625 1626411411.8009
MEM 259.265625 1626411411.9149
MEM 259.281250 1626411412.0298
MEM 259.265625 1626411412.1432
MEM 259.265625 1626411412.2565
MEM 259.281250 1626411412.3714
MEM 259.281250 1626411412.4831
MEM 259.281250 1626411412.5990
MEM 259.281250 1626411412.7137
MEM 259.281250 1626411412.8298
MEM 259.281250 1626411412.9444
MEM 260.777344 1626411413.0577
MEM 259.281250 1626411413.1717
MEM 259.519531 1626411413.2854
MEM 259.281250 1626411413.4001
MEM 259.265625 1626411413.5165
MEM 260.777344 1626411413.6303
MEM 259.281250 1626411413.7416
MEM 259.281250 1626411413.8550
MEM 259.281250 1626411413.9698
MEM 259.281250 1626411414.0841
MEM 259.269531 1626411414.1986
MEM 259.292969 1626411414.3131
MEM 259.281250 1626411414.4269
MEM 260.878906 1626411414.5414
MEM 259.636719 1626411414.6560
MEM 259.648438 1626411414.7693
MEM 259.660156 1626411414.8816
MEM 261.164062 1626411414.9964
MEM 259.671875 1626411415.1104
MEM 259.667969 1626411415.2239
MEM 259.671875 1626411415.3389
MEM 259.683594 1626411415.4522
MEM 259.707031 1626411415.5672
MEM 261.210938 1626411415.6819
MEM 259.710938 1626411415.7963
MEM 260.175781 1626411415.9111
MEM 260.183594 1626411416.0262
MEM 260.175781 1626411416.1396
MEM 260.191406 1626411416.2528
MEM 261.687500 1626411416.3676
MEM 260.191406 1626411416.4811
MEM 260.191406 1626411416.5947
MEM 260.175781 1626411416.7084
MEM 260.191406 1626411416.8216
MEM 260.175781 1626411416.9375
MEM 260.191406 1626411417.0525
MEM 260.191406 1626411417.1669
MEM 260.062500 1626411417.2807
MEM 259.078125 1626411417.3943
MEM 259.382812 1626411417.5100
MEM 259.382812 1626411417.6260
MEM 259.382812 1626411417.7416
MEM 259.382812 1626411417.8564
MEM 259.382812 1626411417.9713
MEM 259.382812 1626411418.0863
MEM 259.367188 1626411418.2004
MEM 259.382812 1626411418.3137
MEM 260.878906 1626411418.4296
MEM 259.382812 1626411418.5448
MEM 259.367188 1626411418.6584
MEM 259.382812 1626411418.7720
MEM 259.367188 1626411418.8871
MEM 259.382812 1626411419.0016
MEM 259.382812 1626411419.1149
MEM 259.382812 1626411419.2280
MEM 259.382812 1626411419.3424
MEM 259.382812 1626411419.4568
MEM 259.367188 1626411419.5702
MEM 259.382812 1626411419.6837
MEM 259.367188 1626411419.7979
MEM 259.382812 1626411419.9119
MEM 259.382812 1626411420.0263
MEM 259.382812 1626411420.1419
MEM 259.382812 1626411420.2569
MEM 259.382812 1626411420.3703
MEM 259.382812 1626411420.4841
MEM 259.382812 1626411420.5977
MEM 259.367188 1626411420.7120
MEM 260.121094 1626411420.8257
MEM 259.367188 1626411420.9368
MEM 259.367188 1626411421.0513
MEM 259.367188 1626411421.1640
MEM 259.382812 1626411421.2787
MEM 259.382812 1626411421.3933
MEM 259.382812 1626411421.5088
MEM 259.382812 1626411421.6235
MEM 259.382812 1626411421.7376
MEM 259.382812 1626411421.8521
MEM 259.367188 1626411421.9665
MEM 259.382812 1626411422.0813
MEM 259.382812 1626411422.1960
MEM 259.367188 1626411422.3100
MEM 259.382812 1626411422.4255
MEM 259.382812 1626411422.5391
MEM 259.367188 1626411422.6546
MEM 259.382812 1626411422.7706
MEM 259.367188 1626411422.8859
MEM 259.367188 1626411422.9998
MEM 259.382812 1626411423.1145
MEM 259.367188 1626411423.2290
MEM 259.382812 1626411423.3416
MEM 259.382812 1626411423.4563
MEM 259.367188 1626411423.5705
MEM 259.367188 1626411423.6854
MEM 259.382812 1626411423.8000
MEM 259.382812 1626411423.9153
MEM 259.367188 1626411424.0297
MEM 259.382812 1626411424.1435
MEM 259.367188 1626411424.2576
MEM 259.382812 1626411424.3720
MEM 260.878906 1626411424.4865
MEM 259.382812 1626411424.6018
MEM 259.367188 1626411424.7167
MEM 259.367188 1626411424.8314
MEM 260.878906 1626411424.9457
MEM 259.382812 1626411425.0606
MEM 259.824219 1626411425.1746
MEM 259.824219 1626411425.2890
MEM 259.824219 1626411425.4018
MEM 259.824219 1626411425.5163
MEM 259.824219 1626411425.6273
MEM 259.824219 1626411425.7415
MEM 259.808594 1626411425.8554
MEM 259.808594 1626411425.9700
MEM 259.808594 1626411426.0841
MEM 259.824219 1626411426.1986
MEM 259.824219 1626411426.3129
MEM 259.824219 1626411426.4273
MEM 259.824219 1626411426.5417
MEM 261.320312 1626411426.6564
MEM 259.824219 1626411426.7695
MEM 261.320312 1626411426.8803
MEM 259.808594 1626411426.9936
MEM 260.261719 1626411427.1080
MEM 260.261719 1626411427.2219
MEM 261.757812 1626411427.3358
MEM 260.261719 1626411427.4500
MEM 260.757812 1626411427.5649
MEM 260.261719 1626411427.6795
MEM 260.246094 1626411427.7940
MEM 260.261719 1626411427.9070
MEM 260.261719 1626411428.0202
MEM 261.253906 1626411428.1334
MEM 260.246094 1626411428.2485
MEM 261.757812 1626411428.3618
MEM 260.246094 1626411428.4764
MEM 260.261719 1626411428.5911
MEM 260.246094 1626411428.7063
MEM 260.261719 1626411428.8206
MEM 260.261719 1626411428.9341
MEM 260.261719 1626411429.0483
MEM 260.273438 1626411429.1636
MEM 261.769531 1626411429.2787
MEM 260.273438 1626411429.3925
MEM 260.257812 1626411429.5068
MEM 260.273438 1626411429.6211
MEM 261.769531 1626411429.7355
MEM 260.273438 1626411429.8498
MEM 261.769531 1626411429.9647
MEM 261.523438 1626411430.0797
MEM 260.273438 1626411430.1951
MEM 261.265625 1626411430.3101
MEM 260.273438 1626411430.4249
MEM 260.257812 1626411430.5380
MEM 260.273438 1626411430.6526
MEM 260.273438 1626411430.7656
MEM 260.257812 1626411430.8794
MEM 260.257812 1626411430.9935
MEM 260.273438 1626411431.1081
MEM 261.523438 1626411431.2228
MEM 260.257812 1626411431.3351
MEM 260.257812 1626411431.4495
MEM 260.257812 1626411431.5622
MEM 260.273438 1626411431.6764
MEM 260.273438 1626411431.7909
MEM 260.257812 1626411431.9047
MEM 260.257812 1626411432.0188
MEM 260.273438 1626411432.1332
MEM 260.273438 1626411432.2484
MEM 260.257812 1626411432.3629
MEM 261.265625 1626411432.4776
MEM 260.273438 1626411432.5909
MEM 260.273438 1626411432.7046
MEM 260.257812 1626411432.8194
MEM 260.273438 1626411432.9334
MEM 260.273438 1626411433.0478
MEM 260.257812 1626411433.1620
MEM 260.273438 1626411433.2772
MEM 260.257812 1626411433.3925
MEM 260.308594 1626411433.5052
MEM 261.820312 1626411433.6196
MEM 260.324219 1626411433.7343
