CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python ./test/vaex_test.py --n_samples 100 --batch_size 10
MEM 1.605469 1626413666.7863
MEM 16.406250 1626413666.8867
MEM 23.988281 1626413666.9871
MEM 30.054688 1626413667.0874
MEM 36.796875 1626413667.1877
MEM 52.820312 1626413667.2882
MEM 75.437500 1626413667.3886
MEM 105.433594 1626413667.4890
MEM 116.121094 1626413667.5894
MEM 126.484375 1626413667.6898
MEM 134.585938 1626413667.7901
MEM 151.207031 1626413667.8905
MEM 159.859375 1626413667.9909
MEM 166.035156 1626413668.0912
MEM 170.414062 1626413668.1916
MEM 173.691406 1626413668.2920
MEM 189.988281 1626413668.3924
MEM 205.507812 1626413668.4928
MEM 208.851562 1626413668.5932
MEM 209.101562 1626413668.6936
MEM 209.101562 1626413668.7940
MEM 218.191406 1626413668.8944
MEM 225.304688 1626413668.9948
MEM 234.671875 1626413669.0953
MEM 237.359375 1626413669.1956
MEM 244.015625 1626413669.2960
MEM 255.746094 1626413669.3964
MEM 262.097656 1626413669.4967
MEM 262.511719 1626413669.5971
MEM 266.179688 1626413669.6974
MEM 268.398438 1626413669.7977
MEM 273.937500 1626413669.9015
MEM 276.855469 1626413670.0020
MEM 278.378906 1626413670.1024
MEM 284.625000 1626413670.2027
MEM 285.882812 1626413670.3030
MEM 285.882812 1626413670.4034
MEM 285.882812 1626413670.5037
MEM 285.882812 1626413670.6042
MEM 286.500000 1626413670.7045
MEM 287.058594 1626413670.8050
MEM 287.148438 1626413670.9078
MEM 287.148438 1626413671.0083
MEM 287.148438 1626413671.1087
MEM 287.148438 1626413671.2091
MEM 287.148438 1626413671.3095
MEM 287.148438 1626413671.4100
MEM 287.148438 1626413671.5104
MEM 287.148438 1626413671.6108
MEM 287.148438 1626413671.7112
MEM 287.148438 1626413671.8116
MEM 287.148438 1626413671.9121
MEM 287.148438 1626413672.0126
MEM 287.148438 1626413672.1130
MEM 287.148438 1626413672.2134
MEM 287.148438 1626413672.3139
MEM 287.148438 1626413672.4142
MEM 287.148438 1626413672.5146
MEM 287.148438 1626413672.6150
MEM 287.148438 1626413672.7154
MEM 287.230469 1626413672.8159
MEM 287.230469 1626413672.9162
MEM 287.250000 1626413673.0165
MEM 287.250000 1626413673.1168
MEM 287.250000 1626413673.2171
MEM 287.250000 1626413673.3174
MEM 287.273438 1626413673.4177
MEM 287.273438 1626413673.5180
MEM 287.300781 1626413673.6183
MEM 287.300781 1626413673.7186
MEM 287.746094 1626413673.8189
MEM 287.746094 1626413673.9194
MEM 287.722656 1626413674.0198
MEM 286.722656 1626413674.1203
MEM 285.097656 1626413674.2207
